name,address,contacts,coords,category,lat,lon,schedule,query,city,social,rating,category_type,activity_score,completeness_score,popularity_score,capacity_score,target_score,commercial_score,final_rating,urgency
"Градус, магазин","улица Кайым Мухамедханов, 19",,"51.141049, 71.384799",Разливное пиво,51.141049,71.384799,"{""Fri"": {""working_hours"": [{""from"": ""10:00"", ""to"": ""23:00""}]}, ""Mon"": {""working_hours"": [{""from"": ""10:00"", ""to"": ""23:00""}]}, ""Sat"": {""working_hours"": [{""from"": ""10:00"", ""to"": ""23:00""}]}, ""Sun"": {""working_hours"": [{""from"": ""10:00"", ""to"": ""23:00""}]}, ""Thu"": {""working_hours"": [{""from"": ""10:00"", ""to"": ""23:00""}]}, ""Tue"": {""working_hours"": [{""from"": ""10:00"", ""to"": ""23:00""}]}, ""Wed"": {""working_hours"": [{""from"": ""10:00"", ""to"": ""23:00""}]}}",Магазин,Астана,,5,Стандарт,0,1.0,0.3,0.3,0.8,0.53,3.0,❄️ Холодный лид
"Metro, оптовый магазин","трасса Астана-Караганда, 4/1",,"51.131003, 71.544353",Гипермаркеты,51.131003,71.544353,"{""Fri"": {""working_hours"": [{""from"": ""08:00"", ""to"": ""22:00""}]}, ""Mon"": {""working_hours"": [{""from"": ""08:00"", ""to"": ""22:00""}]}, ""Sat"": {""working_hours"": [{""from"": ""08:00"", ""to"": ""22:00""}]}, ""Sun"": {""working_hours"": [{""from"": ""08:00"", ""to"": ""22:00""}]}, ""Thu"": {""working_hours"": [{""from"": ""08:00"", ""to"": ""22:00""}]}, ""Tue"": {""working_hours"": [{""from"": ""08:00"", ""to"": ""22:00""}]}, ""Wed"": {""working_hours"": [{""from"": ""08:00"", ""to"": ""22:00""}]}, ""comment"": ""служба доставки: пн-вс 10:00-19:00""}",Магазин,Астана,,5,Стандарт,0,1.0,0.3,0.3,0.8,0.53,3.0,❄️ Холодный лид
"Fix price, магазин фиксированных цен","проспект Улы Дала, 55/2",,"51.094805, 71.435079",Супермаркеты,51.094805,71.435079,"{""Fri"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}, ""Mon"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}, ""Sat"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}, ""Sun"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}, ""Thu"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}, ""Tue"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}, ""Wed"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}}",Магазин,Астана,,5,Стандарт,0,1.0,0.3,0.3,0.8,0.53,3.0,❄️ Холодный лид
"Fix price, магазин фиксированных цен","23-й проезд, 6/1",,"51.10013, 71.435562",Супермаркеты,51.10013,71.435562,"{""Fri"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}, ""Mon"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}, ""Sat"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}, ""Sun"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}, ""Thu"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}, ""Tue"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}, ""Wed"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}}",Магазин,Астана,,5,Стандарт,0,1.0,0.3,0.3,0.8,0.53,3.0,❄️ Холодный лид
"Fix price, магазин фиксированных цен","улица Сыганак, 18",,"51.129477, 71.380715",Супермаркеты,51.129477,71.380715,"{""Fri"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}, ""Mon"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}, ""Sat"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}, ""Sun"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}, ""Thu"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}, ""Tue"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}, ""Wed"": {""working_hours"": [{""from"": ""09:00"", ""to"": ""21:00""}]}}",Магазин,Астана,,5,Стандарт,0,1.0,0.3,0.3,0.8,0.53,3.0,❄️ Холодный лид
